"","GeneinGenome","GenenotinGO","GennomeinGO","GenomenotinGO","Fisher","FDR"
"GO:0004930",23,1173,654,17376,0.00113969296579369,0.256016596693479
"GO:0005515",465,731,6144,11886,0.000855049935233565,0.256016596693479
"GO:0005654",223,973,2744,15286,0.00191772731605602,0.256016596693479
"GO:0005730",78,1118,804,17226,0.00163079951253089,0.256016596693479
"GO:0005635",21,1175,155,17875,0.00408720274970256,0.346656203717874
"GO:0007010",21,1175,155,17875,0.00408720274970256,0.346656203717874
"GO:0007601",25,1171,197,17833,0.00454418244573992,0.346656203717874
"GO:0006260",19,1177,139,17891,0.00692209745144481,0.462050004883941
"GO:0006368",13,1183,83,17947,0.00848174059094133,0.503249941729185
"GO:0006457",20,1176,164,17866,0.0134729898209101,0.654052414942365
"GO:0006508",17,1179,458,17572,0.0123008532192555,0.654052414942365
"GO:0016020",154,1042,1907,16123,0.0157030006662878,0.698783529649808
"GO:0000166",32,1164,308,17722,0.0225090754302795,0.726897088562747
"GO:0004714",6,1190,30,18000,0.0223968685487715,0.726897088562747
"GO:0006367",18,1178,150,17880,0.0231409185497504,0.726897088562747
"GO:0007186",40,1156,867,17163,0.0198921567293068,0.726897088562747
"GO:0022904",4,1192,13,18017,0.0184737149235889,0.726897088562747
"GO:0003682",36,1160,361,17669,0.0265802845886088,0.747045893174583
"GO:0005737",364,832,4946,13084,0.0252844228606325,0.747045893174583
"GO:0016491",12,1184,90,17940,0.0353938413267578,0.945015563424433
"GO:0000003",0,1196,2,18028,1,1
"GO:0000165",11,1185,258,17772,0.162081689319598,1
"GO:0000228",4,1192,49,17981,0.570866867615446,1
"GO:0000375",1,1195,25,18005,1,1
"GO:0000398",22,1174,218,17812,0.0781728998742093,1
"GO:0000910",3,1193,47,17983,1,1
"GO:0000981",13,1183,161,17869,0.432813415804044,1
"GO:0000988",0,1196,5,18025,1,1
"GO:0000989",1,1195,13,18017,0.593220909366557,1
"GO:0000991",0,1196,1,18029,1,1
"GO:0001070",0,1196,1,18029,1,1
"GO:0001071",0,1196,2,18028,1,1
"GO:0001076",2,1194,13,18017,0.238697221381632,1
"GO:0001501",11,1185,135,17895,0.489362382659774,1
"GO:0001525",20,1176,216,17814,0.172422544003115,1
"GO:0001678",0,1196,13,18017,1,1
"GO:0001816",2,1194,22,18008,0.659081886253513,1
"GO:0002376",1,1195,27,18003,1,1
"GO:0002446",1,1195,9,18021,0.473982205488923,1
"GO:0002504",0,1196,1,18029,1,1
"GO:0003674",44,1152,735,17295,0.544906400154595,1
"GO:0003676",8,1188,165,17865,0.524810103538732,1
"GO:0003677",114,1082,1421,16609,0.0471183749974047,1
"GO:0003678",2,1194,17,18013,0.332902932233371,1
"GO:0003684",0,1196,58,17972,0.0503589765467012,1
"GO:0003688",2,1194,10,18020,0.168986728601546,1
"GO:0003690",6,1190,72,17958,0.485994940556237,1
"GO:0003697",3,1193,85,17945,0.375719451399988,1
"GO:0003700",57,1139,856,17174,0.944073862956677,1
"GO:0003712",6,1190,65,17965,0.453025606179708,1
"GO:0003723",37,1159,438,17592,0.149169052421503,1
"GO:0003724",1,1195,11,18019,0.537424604203493,1
"GO:0003729",8,1188,111,17919,0.705827942666945,1
"GO:0003735",13,1183,210,17820,1,1
"GO:0003743",6,1190,51,17979,0.167355825764434,1
"GO:0003746",1,1195,19,18011,1,1
"GO:0003747",0,1196,4,18026,1,1
"GO:0003756",3,1193,21,18009,0.185046423897062,1
"GO:0003774",3,1193,47,17983,1,1
"GO:0003777",4,1192,67,17963,1,1
"GO:0003779",21,1175,281,17749,0.548846246100764,1
"GO:0003823",1,1195,66,17964,0.1286709729266,1
"GO:0003824",5,1191,53,17977,0.408937207555021,1
"GO:0003887",4,1192,28,18002,0.135055213688442,1
"GO:0003896",2,1194,4,18026,0.0490432776006687,1
"GO:0003899",2,1194,22,18008,0.659081886253513,1
"GO:0003909",0,1196,4,18026,1,1
"GO:0003916",1,1195,2,18028,0.175262255687641,1
"GO:0003924",22,1174,230,17800,0.112937312956614,1
"GO:0003964",0,1196,8,18022,1,1
"GO:0004016",0,1196,10,18020,1,1
"GO:0004190",0,1196,20,18010,0.632654920484162,1
"GO:0004383",0,1196,8,18022,1,1
"GO:0004386",6,1190,49,17981,0.154385378967789,1
"GO:0004518",1,1195,13,18017,0.593220909366557,1
"GO:0004520",0,1196,21,18009,0.638286741720413,1
"GO:0004521",1,1195,17,18013,1,1
"GO:0004532",0,1196,5,18025,1,1
"GO:0004553",1,1195,5,18025,0.319828779760805,1
"GO:0004601",2,1194,20,18010,0.644641085045964,1
"GO:0004620",3,1193,11,18019,0.0522121055484818,1
"GO:0004645",1,1195,2,18028,0.175262255687641,1
"GO:0004672",13,1183,191,17839,0.883931113139035,1
"GO:0004675",1,1195,7,18023,0.401846920193128,1
"GO:0004715",4,1192,46,17984,0.551829236277057,1
"GO:0004721",3,1193,37,17993,0.736876235043607,1
"GO:0004801",0,1196,1,18029,1,1
"GO:0004802",0,1196,3,18027,1,1
"GO:0004842",28,1168,320,17710,0.177191353348598,1
"GO:0004857",1,1195,26,18004,1,1
"GO:0004867",5,1191,95,17935,0.834624151907197,1
"GO:0004869",2,1194,34,17996,1,1
"GO:0004871",14,1182,194,17836,0.77180959006372,1
"GO:0004872",11,1185,197,17833,0.666357095124001,1
"GO:0004879",1,1195,34,17996,0.723251740726769,1
"GO:0004896",1,1195,21,18009,1,1
"GO:0004904",0,1196,1,18029,1,1
"GO:0005024",0,1196,6,18024,1,1
"GO:0005031",1,1195,24,18006,1,1
"GO:0005085",12,1184,109,17921,0.125810341672137,1
"GO:0005102",24,1172,336,17694,0.660582714376237,1
"GO:0005125",9,1187,174,17856,0.540864609803648,1
"GO:0005126",1,1195,13,18017,0.593220909366557,1
"GO:0005132",3,1193,17,18013,0.124527598362441,1
"GO:0005133",0,1196,1,18029,1,1
"GO:0005134",0,1196,5,18025,1,1
"GO:0005135",0,1196,2,18028,1,1
"GO:0005136",1,1195,2,18028,0.175262255687641,1
"GO:0005137",0,1196,2,18028,1,1
"GO:0005138",1,1195,7,18023,0.401846920193128,1
"GO:0005139",0,1196,1,18029,1,1
"GO:0005140",0,1196,1,18029,1,1
"GO:0005141",0,1196,1,18029,1,1
"GO:0005142",0,1196,1,18029,1,1
"GO:0005143",0,1196,5,18025,1,1
"GO:0005144",0,1196,1,18029,1,1
"GO:0005160",3,1193,42,17988,0.757807520308926,1
"GO:0005164",2,1194,29,18001,0.719176597942362,1
"GO:0005179",4,1192,92,17938,0.526754173156827,1
"GO:0005184",2,1194,30,18000,1,1
"GO:0005198",15,1181,216,17814,0.784750657157179,1
"GO:0005200",12,1184,107,17923,0.0854693395240058,1
"GO:0005201",5,1191,62,17968,0.609691698007198,1
"GO:0005215",6,1190,135,17895,0.480757789560878,1
"GO:0005216",1,1195,15,18015,1,1
"GO:0005243",2,1194,12,18018,0.215182995531491,1
"GO:0005244",1,1195,28,18002,1,1
"GO:0005245",0,1196,40,17990,0.176911525999682,1
"GO:0005246",2,1194,27,18003,0.701257977213477,1
"GO:0005248",1,1195,19,18011,1,1
"GO:0005249",2,1194,45,17985,1,1
"GO:0005253",0,1196,3,18027,1,1
"GO:0005261",0,1196,20,18010,0.632654920484162,1
"GO:0005319",0,1196,17,18013,0.621399270070606,1
"GO:0005326",0,1196,6,18024,1,1
"GO:0005484",4,1192,38,17992,0.330988366265977,1
"GO:0005509",57,1139,692,17338,0.122025839690286,1
"GO:0005516",9,1187,188,17842,0.456173537344784,1
"GO:0005544",7,1189,45,17985,0.0410438772682891,1
"GO:0005575",23,1173,482,17548,0.134333147981496,1
"GO:0005576",78,1118,1476,16554,0.0424920438302412,1
"GO:0005578",20,1176,244,17786,0.367206913395628,1
"GO:0005615",73,1123,1294,16736,0.181141179442881,1
"GO:0005618",0,1196,2,18028,1,1
