"","GeneinGenome","GenenotinGO","GennomeinGO","GenomenotinGO","Fisher","FDR"
"GO:0043226",577,156,12881,5741,1.48162287458819e-08,7.91186615030094e-06
"GO:0005622",611,122,13930,4692,5.88603207050275e-08,1.57157056282424e-05
"GO:0005737",480,253,10548,8074,1.89838453502098e-06,0.000337912447233734
"GO:0005654",163,570,2946,15676,9.58652679317569e-06,0.00127980132688896
"GO:0016740",132,601,2311,16311,1.97035174342793e-05,0.00210433566198103
"GO:0004930",12,721,867,17755,2.59739226390364e-05,0.00231167911487424
"GO:0003824",277,456,5700,12922,5.2991617874211e-05,0.00353719049310358
"GO:0005739",98,635,1634,16988,5.29476875483404e-05,0.00353719049310358
"GO:0004871",38,695,1721,16901,7.90118209880156e-05,0.00439462154306554
"GO:0008152",479,254,10817,7805,8.22962835780063e-05,0.00439462154306554
"GO:0044238",446,287,9990,8632,0.000133231648966738,0.00646779095893075
"GO:0045111",0,733,239,18383,0.000210308139480116,0.00935871220686514
"GO:0032991",230,503,4726,13896,0.000338223689080073,0.0138931884591353
"GO:0005488",563,170,13201,5421,0.000475211293381652,0.0181259164761287
"GO:0000166",125,608,2330,16292,0.000537604253429718,0.019138711422098
"GO:0007186",27,706,1252,17370,0.000618954495291493,0.0194424529697446
"GO:0043234",197,536,3985,14637,0.000588325920619524,0.0194424529697446
"GO:0005515",395,338,8879,9743,0.00103214581094502,0.0306203257247022
"GO:0007606",7,726,522,18100,0.00109830995475934,0.0308682903074468
"GO:0003723",89,644,1605,17017,0.00167467697209808,0.0447138751550187
"GO:0009056",104,629,1950,16672,0.00217557134591481,0.055321671367548
"GO:0004872",42,691,1643,16979,0.00260509194622505,0.0570082910133641
"GO:0005794",80,653,1439,17183,0.00253915775385994,0.0570082910133641
"GO:0007005",41,692,624,17998,0.00249625731620126,0.0570082910133641
"GO:0007608",6,727,453,18169,0.00266892748189907,0.0570082910133641
"GO:0005634",310,423,6887,11735,0.00391862192325558,0.0804824656545569
"GO:0004842",29,704,414,18208,0.00505355592048445,0.0963785307692391
"GO:0009987",619,114,14950,3672,0.00504915868452909,0.0963785307692391
"GO:0007600",21,712,946,17676,0.00546988134308424,0.100721263351965
"GO:0044464",659,74,16101,2521,0.00669377606865846,0.119149214022121
"GO:0042742",2,731,251,18371,0.00699082356863373,0.120422573730658
"GO:0008173",7,726,54,18568,0.00802957593168014,0.133993548359912
"GO:0005773",65,668,1184,17438,0.00900238036247234,0.145674882229098
"GO:0040011",40,693,1494,17128,0.00983032565126792,0.154393938169914
"GO:0003688",3,730,10,18612,0.0116424913104213,0.177631153136142
"GO:0005768",46,687,791,17831,0.0120281880640331,0.178418122949825
"GO:0006796",144,589,3002,15620,0.0123911245066875,0.178834067204624
"GO:0003674",664,69,16309,2313,0.0136766880112938,0.192193457842918
"GO:0009058",275,458,6167,12455,0.0147407372855912,0.196788842762642
"GO:0035556",126,607,2588,16034,0.0145422820774884,0.196788842762642
"GO:0007178",4,729,307,18315,0.0154782057496896,0.201594191959371
"GO:0007498",0,733,126,18496,0.0159996207241528,0.203423749207085
"GO:0016043",262,471,5870,12752,0.016936635664434,0.21032938243739
"GO:0006839",19,714,268,18354,0.0180622921929652,0.219210546160077
"GO:0006874",6,727,370,18252,0.0197477093967232,0.229245148214134
"GO:0019538",238,495,5295,13327,0.0195563984395507,0.229245148214134
"GO:0005615",38,695,1381,17241,0.0207295103753342,0.229627697838638
"GO:0006260",20,713,287,18335,0.0219307351868362,0.229627697838638
"GO:0006281",31,702,511,18111,0.0219238669938682,0.229627697838638
"GO:0006399",14,719,179,18443,0.0202363873805136,0.229627697838638
"GO:0071840",267,466,6020,12602,0.0218732141181559,0.229627697838638
"GO:0003008",58,675,1962,16660,0.0224998008008798,0.231055646685958
"GO:0003676",182,551,3963,14659,0.0244181069385716,0.237619144291425
"GO:0006996",149,584,3172,15450,0.0244738819026748,0.237619144291425
"GO:0016779",11,722,132,18490,0.0241260421179935,0.237619144291425
"GO:0008150",675,58,16672,1950,0.0260140786588987,0.248062821497356
"GO:0005886",170,563,5014,13608,0.0269484599211513,0.249551600245947
"GO:0006928",51,682,1741,16881,0.0271048554574249,0.249551600245947
"GO:0050877",35,698,1263,17359,0.0346218737281226,0.313357297810465
"GO:0001906",0,733,105,18517,0.0353370599442333,0.314499833503676
"GO:0006461",70,663,1387,17235,0.0382950555539541,0.329831607513088
"GO:0070271",70,663,1387,17235,0.0382950555539541,0.329831607513088
"GO:0005201",7,726,77,18545,0.0399034454997455,0.333082049724476
"GO:0016032",50,683,942,17680,0.0399199460343942,0.333082049724476
