"","V1","V2"
"C2CD2",0.619330592557101,NA
"CPEB4",0.304372704327297,NA
"GNA15",0.514485300829261,NA
"CPEB3",0.23223723367745,NA
"BEGAIN",0.0719267822258358,NA
"RBMXL3",0.295447509674617,NA
"SRBD1",0.776917500461467,NA
"ABAT",0.866212412326689,NA
"CDH20",0.703932085058019,NA
"BBOX1",0.856434020000207,NA
"FRG1",0.396381986336831,NA
"TP53TG5",0.359131812163287,NA
"RHEBL1",0.226305282217675,NA
"SIRPA",0.193303806244809,NA
"IFT80",0.965641681452129,NA
"TBC1D31",0.318557055358959,NA
"LOC100289495",0.371296591748455,NA
"IFT88",0.83395484565083,NA
"C11orf92",0.784264388159542,NA
"SARDH",0.171052287417258,NA
"KISS1R",0.328881857705317,NA
"EIF1",0.76374366183517,NA
"IL10RB",0.926022144161872,NA
"ATG4C",0.516339718881723,NA
"ATG4A",0.852678875078593,NA
"ATG4D",0.398517633283369,NA
"PHOX2A",0.917661225987083,NA
"PHOX2B",0.421357575530113,NA
"FAM193A",0.903999762918634,NA
"NLRP14",0.496133287198905,NA
"UPK2",0.565741504625518,NA
"CFH",0.396115274515479,NA
"GPT2",0.878275371868084,NA
"FBXO3",0.300781369687555,NA
"PNP",0.129942547095232,NA
"CFD",0.223744338346009,NA
"CFB",0.807900884321049,NA
"OR5P3",0.137635359840195,NA
"OR5P2",0.322286701300047,NA
"MLLT4",0.167636352661471,NA
"PNN",0.657278743095034,NA
"ATP6V0E1",0.281963099025574,NA
"OSER1",0.148881388271279,NA
"AAAS",0.664562588889659,NA
"HAMP",0.670133558697927,NA
"EDC3",0.919940612873498,NA
"SIDT1",0.054893740038134,NA
"SIX4",0.87601132574247,NA
"SIX5",0.237517519168807,NA
"SIX6",0.057925554830678,NA
"MR1",0.396915249309956,NA
"SIX2",0.377473725807599,NA
"SIX3",0.124219405205234,NA
"CNPY4",0.793844069343679,NA
"NAALAD2",0.897936867590019,NA
"CNPY2",0.188112593627593,NA
"PLCZ1",0.975563683427917,NA
"LINC00301",0.379546766119981,NA
"KNDC1",0.146737623662201,NA
"HMG20A",0.810126188504958,NA
"LINC00304",0.503736495892016,NA
"LINC00305",0.465754116130925,NA
"FBXO6",0.600555690049059,NA
"C4orf19",0.448378269363224,NA
"SLC7A6OS",0.916901579793473,NA
"C4orf17",0.765934672039336,NA
"CDH26",0.824254732015134,NA
"C3orf72",0.613940210348138,NA
"SHOX2",0.869225345339841,NA
"ZFP82",0.324632139982951,NA
"CHFR",0.0732987120841655,NA
"SMDT1",0.22962856330899,NA
"GPR75",0.424681984470733,NA
"RFX4",0.703221664377806,NA
"RFX5",0.910068260546194,NA
"APP",0.99503562875742,NA
"NRXN3",0.18365529357543,NA
"RFX1",0.613267869050075,NA
"RFX2",0.0350476514054111,NA
"RFX3",0.130915993910101,NA
"APC",0.44666116498669,NA
"TMEM179B",0.0887657905602957,NA
"ABCE1",0.77398428249413,NA
"UQCRC2",0.309357095337636,NA
"XPNPEP1",0.126817617123808,NA
"XPNPEP2",0.663172721747749,NA
"UQCRC1",0.360135872302104,NA
"TEN1.CDK3",0.494922358996643,NA
"GGCX",0.147538751700467,NA
"RETSAT",0.545838063324633,NA
"ZNF57",0.086457432564369,NA
"KHDRBS1",0.337971345645311,NA
"KHDRBS3",0.045126865759222,NA
"KHDRBS2",0.197931780325513,NA
"PWAR5",0.214767448871258,NA
"ZNHIT6",0.949625727594104,NA
"LHCGR",0.0875167326377481,NA
"GPR78",0.662478222321189,NA
"VPS37B",0.945815160068493,NA
"CTSG",0.466925657262914,NA
"DPYSL4",0.413113647236891,NA
"TARS2",0.328407893900582,NA
"DPYSL2",0.238659957015318,NA
"DPYSL3",0.547748928485151,NA
"PODN",0.387382833617098,NA
"GPR17",0.787945100279198,NA
"IGFBP2",0.254662845019272,NA
"IGFBP3",0.910827199189736,NA
"IGFBP1",0.533813226941609,NA
"IGFBP6",0.452975493728602,NA
"IGFBP7",0.872240178300078,NA
"IGFBP4",0.893014940763612,NA
"IGFBP5",0.779119505531579,NA
"SKP2",0.362149273706927,NA
"CYP2R1",0.650027338417948,NA
"CKLF",0.00317604676312438,NA
"DAW1",0.24520702130277,NA
"GJA1",0.236000285962905,NA
"GJA4",0.931347044541224,NA
"GJA5",0.748460434820005,NA
"CYP8B1",0.64315188845219,NA
"PMS2P3",0.0270228478227335,NA
"PMS2P5",0.0465833514870567,NA
"ZNF114",0.353640977473712,NA
"KDM3A",0.200612462766133,NA
"SEZ6L",0.462832396973694,NA
"NIF3L1",0.771786470820343,NA
"TMC4",0.801974379928973,NA
"NOP9",0.477542756338142,NA
"TMC6",0.870732527013916,NA
"TMC7",0.932108001128139,NA
"APIP",0.476949473491624,NA
"TMC2",0.00539168713658827,NA
"EIF2B4",0.178040056609656,NA
"GTPBP2",0.612595852948504,NA
"TMC8",0.626775867026294,NA
"EIF2B3",0.903999762918634,NA
"EIF2B1",0.470450069271491,NA
"PRKAR2A",0.204683019700736,NA
"PRKAR2B",0.814581387237288,NA
"MAGT1",0.153516175723389,NA
"TXNIP",0.449525085063223,NA
"MLF1",0.656240844346152,NA
"RASAL2.AS1",0.851928243763485,NA
"RSPH9",0.566389310367362,NA
"TMEM14C",0.92222065774826,NA
"TMEM14B",0.945053192498715,NA
"TMEM14A",0.903999762918634,NA
"CFLAR",0.00674977046141003,NA
"MECOM",0.2053672447054,NA
"ITGA2B",0.358630442495999,NA
"RSPH1",0.296774998619521,NA
"IFI16",0.2475467084267,NA
"ITGA1",0.95572499639979,NA
"CEPT1",0.663867494571724,NA
"LOC646719",0.0463728902749274,NA
"CLIC6",0.55670978842402,NA
"CLIC4",0.628813055993588,NA
"CLIC5",0.0680811857253136,NA
"NLGN2",0.220121901434933,NA
"CLIC3",0.188434000240587,NA
"LRSAM1",0.774717286333419,NA
"STMN2",0.471038896097368,NA
"ITGA5",0.586645678756711,NA
"TMEM147",0.321818943659149,NA
"ASGR1",0.490395457572636,NA
"TMEM145",0.149151031477885,NA
"TMEM144",0.520680131847577,NA
"TMEM143",0.961826858866295,NA
"ITGA6",0.152965279286101,NA
"TMEM141",0.827982454993222,NA
"TMEM140",0.915382515690582,NA
"SF1",0.118468911368605,NA
"MIR4707",0.629492748487634,NA
"PKIB",0.299441927717237,NA
"API5",0.470450069271491,NA
"RTKN2",0.830220955792051,NA
"TTC3",0.324632139982951,NA
"SOWAHA",0.79458227794131,NA
"SECISBP2L",0.259080460470423,NA
"KIAA1199",0.709624708561108,NA
"FAM32A",0.622710030154109,NA
"SORBS1",0.407129277834248,NA
"KIAA1191",0.419149809872424,NA
"METTL1",0.0297159608257196,NA
"VMP1",0.765934672039336,NA
"CA5B",0.718909762943226,NA
"ZMAT3",0.644524560383033,NA
"ZMAT2",0.403886983385151,NA
"TSNAX.DISC1",0.190047111016272,NA
"C19orf24",0.476949473491624,NA
"MYBL1",0.0780271484040473,NA
"NR1D1",0.647961538425013,NA
"SMOC1",0.819786698799,NA
"MYBL2",0.723926750909052,NA
"ITGB1BP1",0.25267225776293,NA
"ITGB1BP2",0.673624674963482,NA
"ZNF7",0.715333587420129,NA
"CTCFL",0.687306711233133,NA
"ZNF8",0.20502492468588,NA
"C11orf16",0.491299070903072,NA
"PHLDA3",0.977853969282166,NA
"UFSP2",0.810126188504958,NA
"SYNDIG1",0.105107667412914,NA
"MORC2.AS1",0.969457290591028,NA
"OGFR",0.063037181150907,NA
"CDC5L",0.947339243228912,NA
"RAC2",0.463415940287645,NA
"RAC3",0.559283094890649,NA
"RAC1",0.015898058266903,NA
"SBDS",0.32275490231918,NA
"OSER1.AS1",0.148881388271279,NA
"VCL",0.68554676689272,NA
"MRPS18A",0.947339243228912,NA
"CPLX2",0.771054287921877,NA
"CPLX4",0.704641549818506,NA
"AP2A2",0.0611609226452824,NA
"VCX",0.291488933032173,NA
"PBX4",0.437566722867697,NA
"CLC",0.270563889240081,NA
"PBX2",0.798276068377596,NA
"PBX3",0.827236597493218,NA
"PBX1",0.733275403586609,NA
"AIRE",0.836196983928837,NA
"NSUN3",0.596566204393076,NA
"NSUN2",0.827982454993222,NA
"NSUN5",0.554783603237123,NA
"NSUN4",0.124923854730023,NA
"NSUN7",0.271814636525363,NA
"NSUN6",0.475172048620759,NA
"TUBG1",0.435873455988867,NA
"FAM71F1",0.468098831186239,NA
"PRAMEF1",0.636989981471105,NA
"PRAMEF2",0.504042696246325,NA
"TARS",0.0464780206037289,NA
"PTCH1",0.149962197698584,NA
"TIMM44",0.754271338257872,NA
"TUFM",0.781323284828024,NA
"RAD9B",0.933630099782388,NA
"RAD9A",0.121662911512302,NA
"ERGIC3",0.153516175723389,NA
"CDR2L",0.103069249159927,NA
"ERGIC1",0.72895561345573,NA
"CLEC14A",0.779119505531579,NA
"S100PBP",0.303922236894696,NA
"B3GAT3",0.353144455630234,NA
"B3GAT2",0.308901752686451,NA
"B3GAT1",0.139420098703557,NA
"UXT",0.793844069343679,NA
"CALM2",0.202979713611873,NA
"TTC30A",0.481707019004926,NA
"SPG21",0.381626793065296,NA
"CALM1",0.312556907102467,NA
"PDC",0.401734066327851,NA
"GSDMB",0.418598909565499,NA
"GSDMC",0.156573105036934,NA
"UPK1A",0.866212412326689,NA
"UPK1B",0.752090598739429,NA
"CDX1",0.236378949973322,NA
"DLGAP4",0.323223546707409,NA
"DLGAP5",0.918420947357488,NA
"BRDT",0.458179035843944,NA
"MBNL1",0.672925886042545,NA
"MBNL2",0.64246600860036,NA
"MBNL3",0.321351629404804,NA
"SRSF10",0.52254604623084,NA
"HRH3",0.540125376913651,NA
"ADCY7",0.362149273706927,NA
"OIP5",0.245206778885024,NA
"CLCN3",0.501601967143753,NA
"CLCN2",0.324632115133123,NA
"CLCN1",0.388961803258923,NA
"CLCN6",0.0243002734017296,NA
"CLCN5",0.559283094890649,NA
"CLCN4",0.910068260546194,NA
"INO80B.WBP1",0.600555690049059,NA
"BRD8",0.56186216097425,NA
"BRD9",0.0232331826161257,NA
"BRD4",0.426349920523925,NA
"BRD1",0.171351768976228,NA
"BRD2",0.313934905524798,NA
"BRD3",0.951150282140531,NA
"DNAJA2",0.117120345841561,NA
"DNAJA3",0.0471130242341413,NA
"DNAJA1",0.170156194662365,NA
"DNAJA4",0.940482466996193,NA
"GLG1",0.223016461479887,NA
"PTPN13",0.967167835606659,NA
"PTPN12",0.6527859257686,NA
"PTPN11",0.263959909311109,NA
"LOC84931",0.980144437716406,NA
"CLMP",0.348695616160825,NA
"MYCBP",0.473398264853612,NA
"PTPN14",0.299441927717237,NA
"GALR3",0.765204126283895,NA
"GALR2",0.882806433799129,NA
"GALR1",0.746285003940799,NA
"SETD1B",0.158259862930007,NA
"LYAR",0.530671185660879,NA
"MIR378D2",0.0819862014620566,NA
"CH25H",0.796059246520303,NA
"MRPL24",0.711050415590978,NA
"MRPL27",0.197265722998689,NA
"C16orf70",0.5107868778909,NA
"C16orf71",0.746997762835422,NA
"MRPL23",0.165436370411606,NA
"MRPL22",0.907791939676497,NA
"STX16.NPEPL1",0.448378269363224,NA
"GAB2",0.14409121690622,NA
"GAB3",0.947339243228912,NA
"GAB1",0.125159362164368,NA
"HABP4",0.862448983277416,NA
"DMRTB1",0.0383183591958166,NA
"C2orf82",0.815324507918986,NA
"ZSCAN9",0.258273333749914,NA
"NPTX2",0.117344265982255,NA
"SNORA84",0.137128683527894,NA
"GPR75.ASB3",0.424681984470733,NA
"NDRG1",0.584670785010351,NA
"NDRG2",0.237897901750825,NA
"NDRG3",0.970220499127299,NA
"NDRG4",0.0996762054469253,NA
"ZSCAN2",0.484095438624458,NA
"SRSF5",0.821275400954151,NA
"SRSF4",0.0485139289821559,NA
"SRSF7",0.760096186971331,NA
"SRSF6",0.998472492312045,NA
"SRSF1",0.218684771481694,NA
"RPL7A",0.0756327777667404,NA
"SRSF3",0.24520702130277,NA
"SRSF2",0.333645866700043,NA
"LOC100131655",0.320418331084949,NA
"MZB1",0.212301090635675,NA
"SRSF9",0.469861649109974,NA
"CDK2",0.358129513193981,NA
"DNAJB13",0.998472492312045,NA
"DNAJB12",0.830594165211135,NA
"DNAJB11",0.118694851467009,NA
"CDK3",0.926782646975902,NA
"RNF135",0.763013744359952,NA
"HLA.DQB2",0.709624708561108,NA
"RNF138",0.469273635870745,NA
"RNF139",0.00624202395407731,NA
"ENOSF1",0.907033333360741,NA
"HOXA2",0.987016749727184,NA
"GID4",0.169263624742124,NA
"CISD1",0.652095831791665,NA
"CLNS1A",0.0607649442875687,NA
"HOXA1",0.274327992709217,NA
"HIST1H4L",0.112712024561125,NA
"CSPG4",0.688363516832277,NA
"IL4I1",0.983962004018644,NA
"GID8",0.393191500769249,NA
"MRC2",0.420804995465547,NA
"FOXS1",0.39160210904464,NA
"VILL",0.827236597493218,NA
"ZNF581",0.0199137524773644,NA
"LPAR2",0.347220617073982,NA
"LOC100996702",0.328407893900582,NA
"TIPARP",0.0736064743207966,NA
"ZNF584",0.6527859257686,NA
"ZNF587",0.87601132574247,NA
"CDK9",0.327461295895557,NA
"THSD1",0.359131812163287,NA
"F8A1",0.589944020166295,NA
"TMEM115",0.0206365960727098,NA
"ASUN",0.738325830297651,NA
"CHST8",0.919940612873498,NA
"MAP3K5",0.512634350915948,NA
"LSM12",0.11120038400267,NA
"PSD",0.617981061502688,NA
"CAMKK1",0.123985278648476,NA
"HOXA9",0.148343218554582,NA
"LPAR5",0.611252798166682,NA
"MAGEC2",0.614612876383712,NA
"OLFML1",0.673624674963482,NA
"LINC00158",0.999236245806117,NA
"MTRF1L",0.536333608940344,NA
"ARHGAP5.AS1",0.882050986347103,NA
"MYO1F",0.347220617073982,NA
"MYO1E",0.189723677785974,NA
"MYO1C",0.703932085058019,NA
"MYO1B",0.4535520121774,NA
"MYO1A",0.311182899110931,NA
"CHST1",0.0383183591958166,NA
"LCN6",0.587963989675975,NA
"RPL36AL",0.983962239572267,NA
"TMEM117",0.0198123147132981,NA
"CHMP6",0.0168397266855687,NA
"BCR",0.359884667516198,NA
"FDCSP",0.613940210348138,NA
"CTPS2",0.925261708937531,NA
"CTPS1",0.655549269158134,NA
"LGALSL",0.276857178183914,NA
"LY6G6C",0.74991171234962,NA
"ZER1",0.371808944655531,NA
"SIAE",0.879785290397877,NA
"HOXA11",0.352648374894115,NA
"KRTAP19.2",0.58401315551248,NA
"KRTAP19.3",0.435309874432794,NA
"KRTAP19.1",0.33078214446557,NA
"KRTAP19.6",0.819786689702186,NA
"KRTAP19.7",0.554142266353133,NA
"FAM188A",0.255062267876638,NA
"FAM160B2",0.0826616175431888,NA
"ATAT1",0.574843002707132,NA
"TSSK6",0.849677157110855,NA
"TSSK4",0.671529155652077,NA
"ZNF326",0.799015371531467,NA
"SRF",0.994653759831978,NA
"TSSK3",0.689773517326922,NA
"ZNF322",0.932108001128139,NA
"FAM214B",0.20881331327561,NA
"SRI",0.893393583203779,NA
"ZNF329",0.832460835346091,NA
"SRM",0.393191500769249,NA
"SRR",0.0178762057285776,NA
"RIBC2",0.455862221337652,NA
"FAM220A",0.531298842152105,NA
"LGALS3",0.134118785436062,NA
"LGALS2",0.259889332940198,NA
"LGALS1",0.788681814185989,NA
"LGALS7",0.0496152068758956,NA
"LGALS4",0.5107868778909,NA
"NMU",0.0971421277426064,NA
"AKIRIN2",0.996944990222564,NA
"AKIRIN1",0.0514208274519109,NA
"EIF2AK1",0.927543216688736,NA
"KRTAP11.1",0.156573105036934,NA
"TDG",0.403886983385151,NA
"EREG",0.712477134089329,NA
"MYO19",0.110557456631083,NA
"FAM136A",0.975563683427917,NA
"MYO16",0.0924138298578499,NA
"TRNT1",0.919180743215943,NA
"HLCS",0.810868298730296,NA
"ASAP2",0.110771438756829,NA
"MYO10",0.804195504024621,NA
"OCRL",0.148343218554582,NA
"PLAUR",0.151867999893176,NA
